,landmark,bbl,yearbuilt,yearalter1,yearalter2,histdist,xcoord,ycoord,FISCAL_YEAR,ATS SYSTEM CODE,LOCATION_CODE,LOCATION_NAME,BEDS NUMBER,MANAGED_BY_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_TEXT,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,SCHOOL_SUPPORT_TEAM_LEADER_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,Location 1
10,,3014570032,1993.0,2009.0,0.0,,1006419.0,184520.0,2018,17K012      ,K012,Dr. Jacqueline Peek-Davis School,331700010012,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1993 12:00:00 AM,Open,K012,430 HOWARD AVENUE,NY,1006415.0,184524.0,316,41,36300,3014570032,BK79,Ocean Hill                                                                 ,NYREE DIXON,PRINCIPAL,718-953-4569,718-953-4428,23,K817,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",Field Support Center - Brooklyn South,Mauriciere de Govia,School Support Team 2- Brooklyn South,,,,,"430 HOWARD AVENUE
BROOKLYN, NY 11233
(40.673124, -73.920095)"
11,,3014570032,1993.0,2009.0,0.0,,1006419.0,184520.0,2018,17K484      ,K484,Ronald Edmonds Learning Center II,331700010484,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2006 12:00:00 AM,Open,K012,430 HOWARD AVENUE,NY,1006415.0,184524.0,316,41,36300,3014570032,BK79,Ocean Hill                                                                 ,Michele Luard,PRINCIPAL,718-467-0306,718-953-0682,23,K817,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",Field Support Center - Brooklyn South,Mauriciere de Govia,School Support Team 2- Brooklyn South,,,,,"430 HOWARD AVENUE
BROOKLYN, NY 11233
(40.673124, -73.920095)"
12,,1020420035,1958.0,1992.0,0.0,,999604.0,238097.0,2018,05M123      ,M123,P.S. 123 Mahalia Jackson,310500010123,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",07/01/1959 12:00:00 AM,Open,M123,301 WEST 140 STREET,NY,999597.0,238109.0,110,9,22102,1020420035,MN03,Central Harlem North-Polo Grounds                                          ,Melitina Hernandez,PRINCIPAL,212-342-6200,212-690-5930,5,M805,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,,"301 WEST 140 STREET
MANHATTAN, NY 10030
(40.820216, -73.944551)"
13,,1020420035,1958.0,1992.0,0.0,,999604.0,238097.0,2018,84M482      ,M482,Success Academy Charter School - Harlem 5,310500860979,Charter,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",06/01/2010 12:00:00 AM,Open,M123,301 WEST 140 STREET,NY,999597.0,238109.0,110,9,22102,1020420035,MN03,Central Harlem North-Polo Grounds                                          ,Meghan Mackay/Molly Cohen,PRINCIPAL,646-380-2580,646-961-4731,5,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,"301 WEST 140 STREET
MANHATTAN, NY 10030
(40.820216, -73.944551)"
14,,3032870001,1994.0,0.0,0.0,,1006389.0,193623.0,2018,32K376      ,K376,P.S. 376,333200010376,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/1996 12:00:00 AM,Open,K376,194 HARMAN STREET,NY,1006381.0,193605.0,304,37,43100,3032870001,BK77,Bushwick North                                                             ,Maria Vera,I.A. PRINCIPAL,718-573-0781,718-573-0769,32,K832,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",Field Support Center - Brooklyn North,"FITZGERALD, BERNADETTE",School Support Team 2- Brooklyn North,,,,,"194 HARMAN STREET
BROOKLYN, NY 11237
(40.69805, -73.920187)"
15,,2024430190,1970.0,0.0,0.0,,1006031.0,239003.0,2018,07X031      ,X031,P.S./M.S. 031 The William Lloyd Garrison,320700010031,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",09/01/1899 12:00:00 AM,Open,X151,250 EAST 156 STREET,NY,1006076.0,238973.0,204,17,6100,2024430190,BX14,East Concourse-Concourse Village                                           ,WILLIAM HEWLETT  JR,Acting Principal,718-292-4397,718-292-4399,7,X807,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, ELISA",Field Support Center - Bronx,"RUIZ, JOSE",School Support Team 6- Bronx,,,,,"250 EAST 156 STREET
BRONX, NY 10451
(40.822574, -73.92114)"
16,,2024430190,1970.0,0.0,0.0,,1006031.0,239003.0,2018,07X151      ,X151,J.H.S. 151 Lou Gehrig,320700010151,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/1971 12:00:00 AM,Open,X151,250 EAST 156 STREET,NY,1006076.0,238973.0,204,17,6100,2024430190,BX14,East Concourse-Concourse Village                                           ,Socorro Rivera,PRINCIPAL,718-292-0260,718-292-5704,7,X807,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, ELISA",Field Support Center - Bronx,"RUIZ, JOSE",School Support Team 6- Bronx,,,,,"250 EAST 156 STREET
BRONX, NY 10451
(40.822574, -73.92114)"
17,,2024430190,1970.0,0.0,0.0,,1006031.0,239003.0,2018,84X704      ,X704,KIPP Academy Charter School,320700860820,Charter,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12",05/04/2000 12:00:00 AM,Open,X151,250 EAST 156 STREET,NY,1006076.0,238973.0,204,17,6100,2024430190,BX14,East Concourse-Concourse Village                                           ,Natalie Webb/Frank Corcoran,PRINCIPAL,718-665-3555,718-585-7982,7,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,"250 EAST 156 STREET
BRONX, NY 10451
(40.822574, -73.92114)"
18,,2029390045,1921.0,2005.0,0.0,,1013932.0,243937.0,2018,12X061      ,X061,P.S. 061 Francisco Oller,321200010061,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1922 12:00:00 AM,Open,X061,1550 CROTONA PARK EAST,NY,1013918.0,243930.0,203,17,15300,2029390045,BX75,Crotona Park East                                                          ,Marjorie Cutler Sanchez,I.A. PRINCIPAL,718-542-7230,718-589-7361,12,X812,COMMUNITY SCHOOL DISTRICT 12,"ESPINAL PACHECO, RAFAELA",Field Support Center - Bronx,"RUIZ, JOSE",School Support Team 5- Bronx,,,,,"1550 CROTONA PARK EAST
BRONX, NY 10460
(40.836156, -73.892784)"
19,,2029390045,1921.0,2005.0,0.0,,1013932.0,243937.0,2018,12X190      ,X190,E.S.M.T- I.S. 190,321200010190,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2001 12:00:00 AM,Open,X061,1550 CROTONA PARK EAST,NY,1013918.0,243930.0,203,17,15300,2029390045,BX75,Crotona Park East                                                          ,Castella Mckenzie,PRINCIPAL,718-620-9423,718-620-9927,12,X812,COMMUNITY SCHOOL DISTRICT 12,"ESPINAL PACHECO, RAFAELA",Field Support Center - Bronx,"RUIZ, JOSE",School Support Team 5- Bronx,,,,,"1550 CROTONA PARK EAST
BRONX, NY 10460
(40.836156, -73.892784)"
20,,3014480001,1965.0,0.0,0.0,,1008470.0,185010.0,2018,23K493      ,K493,Brooklyn Collegiate: A College Board School,332300011493,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",09/08/2004 12:00:00 AM,Open,K055,2021 BERGEN STREET,NY,1008470.0,185011.0,316,41,36501,3014480001,BK79,Ocean Hill                                                                 ,Heather Newman,PRINCIPAL,718-922-1145,718-922-2347,23,HS07,,,Field Support Center - Brooklyn North,"FITZGERALD, BERNADETTE",School Support Team 3- Brooklyn North,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD","2021 BERGEN STREET
BROOKLYN, NY 11233
(40.674456, -73.912685)"
21,,3014480001,1965.0,0.0,0.0,,1008470.0,185010.0,2018,84K626      ,K626,Achievement First Brownsville Charter School,332300860912,Charter,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10","0K,01,02,03,04,05,06,07,08,09,10,11,12",07/01/2008 12:00:00 AM,Open,K055,2021 BERGEN STREET,NY,1008470.0,185011.0,316,41,36501,3014480001,BK79,Ocean Hill                                                                 ,Katherine Roger/Keith Brooks,PRINCIPAL,347-471-2600,347-402-2900,23,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,"2021 BERGEN STREET
BROOKLYN, NY 11233
(40.674456, -73.912685)"
22,,1007440024,1925.0,0.0,0.0,,984043.0,210404.0,2018,02M011      ,M011,P.S. 011 William T. Harris,310200010011,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1925 12:00:00 AM,Open,M011,320 WEST  21 STREET,NY,984044.0,210404.0,104,3,8900,1007440024,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,ROBERT BENDER,PRINCIPAL,212-929-1743,212-989-7816,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,,"320 WEST 21 STREET
MANHATTAN, NY 10011
(40.744186, -74.000743)"
23,,2029230018,2008.0,0.0,0.0,,1012647.0,247262.0,2018,09X231      ,X231,Eagle Academy for Young Men,320900011231,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",09/08/2004 12:00:00 AM,Open,X465,4143 THIRD AVENUE,NY,1012615.0,247284.0,206,15,39500,2029230018,BX01,Claremont-Bathgate                                                         ,Hector Velazquez,PRINCIPAL,718-466-8000,718-466-8090,9,HS09,,,Field Support Center - Bronx,"RUIZ, JOSE",School Support Team 2- Bronx,,HS09,H.S. Network 09 Superintendent Office,"ALCOFF, MICHAEL","4143 THIRD AVENUE
BRONX, NY 10457
(40.845366, -73.897479)"
24,INDIVIDUAL LANDMARK,3033170001,1899.0,0.0,0.0,,1007386.0,193616.0,2018,32K116      ,K116,P.S. 116 Elizabeth L Farrell,333200010116,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/1897 12:00:00 AM,Open,K116,515 KNICKERBOCKER AVENUE,NY,1007386.0,193616.0,304,37,43300,3033170001,BK77,Bushwick North                                                             ,ANTOINETTE TUCCI,PRINCIPAL,718-821-4623,718-821-0363,32,K832,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",Field Support Center - Brooklyn North,"FITZGERALD, BERNADETTE",School Support Team 2- Brooklyn North,,,,,"515 KNICKERBOCKER AVENUE
BROOKLYN, NY 11237
(40.698077, -73.916563)"
25,,4157370010,0.0,0.0,0.0,,1049767.0,158010.0,2018,84Q340      ,Q340,Challenge Preparatory Charter School,342700860990,Charter,General Academic,K-8,"0K,01,02,03,04,05,06,07,08","0K,01,02,03,04,05,06,07,08",06/01/2010 12:00:00 AM,Open,QAAT,710 HARTMAN LANE,NY,1049768.0,158011.0,414,31,100802,4157370010,QN15,Far Rockaway-Bayswater                                                     ,Debra Sostre,PRINCIPAL,718-634-1634,718-583-6238,27,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,"710 HARTMAN LANE
QUEENS, NY 11691
(40.600137, -73.764065)"
26,,3054160048,1933.0,0.0,0.0,,991694.0,169585.0,2018,22K134      ,K134,P.S. K134,332200010134,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999 12:00:00 AM,Open,K849,4001 18 AVENUE,NY,991694.0,169585.0,314,44,48000,3054160048,BK42,Flatbush                                                                   ,D RAMSARAN,PRINCIPAL,718-436-7200,718-686-2205,22,K822,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",Field Support Center - Brooklyn South,Mauriciere de Govia,School Support Team 6- Brooklyn South,,,,,"4001 18 AVENUE
BROOKLYN, NY 11218
(40.632145, -73.97318)"
27,,4057560001,1951.0,0.0,0.0,,1039874.0,222908.0,2018,25Q184      ,Q184,P.S. 184 Flushing Manor,342500010184,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1952 12:00:00 AM,Open,Q184,163-15 21 ROAD,NY,1039874.0,222909.0,407,19,101700,4057560001,QN47,Ft. Totten-Bay Terrace-Clearview                                           ,Anna Dimilta,PRINCIPAL,718-352-7800,718-352-0311,25,Q825,COMMUNITY SCHOOL DISTRICT 25,"DIMANGO, DANIELLE",Field Support Center - Queens North,"PENDERGAST, LAWRENCE",School Support Team 3- Queens North,,,,,"163-15 21 ROAD
QUEENS, NY 11357
(40.778334, -73.799158)"
28,,3035080012,1926.0,1994.0,0.0,,1005368.0,182008.0,2018,17K568      ,K568,Brownsville Academy High School,331700011568,DOE,Transfer School,High school,"10,11,12","09,10,11,12",09/08/2004 12:00:00 AM,Open,K907,1150 EAST NEW YORK AVENUE,NY,1005367.0,182019.0,316,41,90000,3035080012,BK81,Brownsville                                                                ,Carol Ying,PRINCIPAL,718-778-7305,718-778-7385,17,HS10,,,Field Support Center - Brooklyn South,Mauriciere de Govia,School Support Team 1- Brooklyn South,,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL","1150 EAST NEW YORK AVENUE
BROOKLYN, NY 11212
(40.666251, -73.923881)"
29,,3004370001,1950.0,0.0,0.0,,986707.0,187077.0,2018,15K032      ,K032,P.S. 032 Samuel Mills Sprole,331500010032,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",07/01/1951 12:00:00 AM,Open,K032,317 HOYT STREET,NY,986707.0,187077.0,306,39,7500,3004370001,BK33,Carroll Gardens-Columbia Street-Red Hook                                   ,DENISE WATSON,PRINCIPAL,718-222-6400,718-222-6405,15,K815,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",Field Support Center - Brooklyn North,"FITZGERALD, BERNADETTE",School Support Team 4- Brooklyn North,,,,,"317 HOYT STREET
BROOKLYN, NY 11231
(40.680159, -73.991141)"
30,,4052560001,1931.0,0.0,0.0,,1041223.0,218221.0,2018,25Q032      ,Q032,P.S. 032 State Street,342500010032,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1925 12:00:00 AM,Open,Q032,171-11 35 AVENUE,NY,1041224.0,218221.0,407,19,114100,4052560001,QN51,Murray Hill                                                                ,Debra Errico,PRINCIPAL,718-463-3747,718-358-1622,25,Q825,COMMUNITY SCHOOL DISTRICT 25,"DIMANGO, DANIELLE",Field Support Center - Queens North,"PENDERGAST, LAWRENCE",School Support Team 3- Queens North,,,,,"171-11 35 AVENUE
QUEENS, NY 11358
(40.765459, -73.794323)"
31,,2033560036,1928.0,2000.0,2000.0,,1018743.0,260062.0,2018,10X094      ,X094,P.S. 094 Kings College School,321000010094,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/1929 12:00:00 AM,Open,X094,3530 KINGS COLLEGE PLACE,NY,1018742.0,260151.0,207,11,43100,2033560036,BX43,Norwood                                                                    ,DIANE DAPROCIDA-SESIN,PRINCIPAL,718-405-6345,718-405-6358,10,X810,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",Field Support Center - Bronx,"RUIZ, JOSE",School Support Team 3- Bronx,,,,,"3530 KINGS COLLEGE PLACE
BRONX, NY 10467
(40.880661, -73.875268)"
32,,4003630001,1948.0,0.0,0.0,,1001099.0,215567.0,2018,30Q111      ,Q111,P.S. 111 Jacob Blackwell,343000010111,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",07/01/1950 12:00:00 AM,Open,Q111,37-15 13 STREET,NY,1001099.0,215567.0,401,26,4300,4003630001,QN68,Queensbridge-Ravenswood-Long Island City                                   ,Dionne Jaggon,PRINCIPAL,718-786-2073,718-729-7102,30,Q830,COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Field Support Center - Queens North,"PENDERGAST, LAWRENCE",School Support Team 1- Queens North,,,,,"37-15 13 STREET
QUEENS, NY 11101
(40.758342, -73.939181)"
33,,5000180006,1920.0,0.0,0.0,,962203.0,172088.0,2018,31R074      ,R074,P.S. 74 Future Leaders Elementary School,353100010074,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/2010 12:00:00 AM,Open,R831,211 DANIEL LOW TERRACE,NY,962203.0,172089.0,501,49,1100,5000180006,SI22,West New Brighton-New Brighton-St. George                                  ,Nicole Reidchristopher,PRINCIPAL,718-727-5380,718-727-5386,31,R831,COMMUNITY SCHOOL DISTRICT 31,"LODICO, ANTHONY",Field Support Center - Staten Island,"MORAN, KEVIN",School Support Team 2- Staten Island,,,,,"211 DANIEL LOW TERRACE
STATEN ISLAND, NY 10301
(40.638993, -74.079438)"
34,,4006340036,1930.0,2002.0,0.0,,1004480.0,214343.0,2018,30Q580      ,Q580,Baccalaureate School for Global Education,343000011580,DOE,General Academic,Secondary School,"07,08,09,10,11,12,SE","07,08,09,10,11,12",07/01/2001 12:00:00 AM,Open,Q798,34-12 36 AVENUE,NY,1004481.0,214343.0,401,26,5500,4006340036,QN68,Queensbridge-Ravenswood-Long Island City                                   ,KELLY JOHNSON,PRINCIPAL,718-361-5275,718-361-5395,30,HS01,,,Field Support Center - Queens North,"PENDERGAST, LAWRENCE",School Support Team 1- Queens North,,HS01,HS Network 01 Superintendent Office,"LINDSEY, ELAINE","34-12 36 AVENUE
QUEENS, NY 11106
(40.754975, -73.926977)"
35,,3051030101,1928.0,0.0,0.0,,996043.0,175651.0,2018,84K886      ,K886,Success Academy Charter School - Flatbush,331700861094,Charter,General Academic,Elementary,"0K,01,02","0K,01,02,03,04,05",07/01/2016 12:00:00 AM,Open,K884,15 SNYDER AVENUE,NY,996043.0,175651.0,314,40,79400,3051030101,BK95,Erasmus                                                                    ,WINTANNA ABAI,PRINCIPAL,,,17,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,"15 SNYDER AVENUE
BROOKLYN, NY 11226
(40.64879, -73.957501)"
